,Unnamed: 0,Name,Type,Studio,Genres
109,109,Banana Fish,TV,['MAPPA'],"['Action', 'Adventure', 'Drama']"
110,110,Hotaru no Haka,Movie,['Studio Ghibli'],['Drama']
111,111,Karakai Jouzu no Takagi-san 3,TV,['Shin-Ei Animation'],"['Comedy', 'Slice of Life']"
112,112,Nana,TV,['Madhouse'],"['Drama', 'Romance', 'Slice of Life']"
113,113,One Punch Man,TV,['Madhouse'],"['Action', 'Comedy']"
114,114,Uchuu Kyoudai,TV,['A-1 Pictures'],"['Comedy', 'Sci-Fi', 'Slice of Life']"
115,115,Samurai Champloo,TV,['Manglobe'],"['Action', 'Adventure', 'Comedy']"
116,116,Shingeki no Kyojin Season 2,TV,['Wit Studio'],"['Action', 'Drama']"
117,117,Tian Guan Ci Fu Special,ONA,['Haoliners Animation League'],"['Drama', 'Supernatural']"
118,118,Aria the Origination,TV,['Hal Film Maker'],"['Fantasy', 'Sci-Fi', 'Slice of Life']"
119,119,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,['David Production'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']"
120,120,Rainbow: Nisha Rokubou no Shichinin,TV,['Madhouse'],"['Drama', 'Suspense']"
121,121,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV,['White Fox'],"['Drama', 'Fantasy', 'Suspense']"
122,122,Mob Psycho 100,TV,['Bones'],"['Action', 'Comedy', 'Supernatural']"
123,123,Chihayafuru 3,TV,['Madhouse'],"['Drama', 'Slice of Life', 'Sports']"
124,124,Gintama: The Semi-Final,Special,['Bandai Namco Pictures'],"['Action', 'Comedy']"
125,125,Josee to Tora to Sakana-tachi,Movie,['Bones'],"['Drama', 'Romance', 'Slice of Life']"
126,126,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie,['J.C.Staff'],"['Adventure', 'Comedy', 'Fantasy']"
127,127,Mo Dao Zu Shi,ONA,['B.CMAY PICTURES'],"['Action', 'Adventure', 'Mystery', 'Supernatural']"
128,128,Zoku Owarimonogatari,Movie,['Shaft'],"['Comedy', 'Mystery', 'Supernatural']"
129,129,Nichijou,TV,['Kyoto Animation'],"['Comedy', 'Slice of Life']"
130,130,Owarimonogatari,TV,['Shaft'],"['Comedy', 'Mystery', 'Supernatural']"
131,131,Saenai Heroine no Sodatekata Fine,Movie,['CloverWorks'],"['Comedy', 'Romance', 'Ecchi']"
132,132,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,['White Fox'],"['Drama', 'Sci-Fi']"
133,133,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,['Shaft'],"['Drama', 'Mystery', 'Suspense']"
134,134,Golden Kamuy 3rd Season,TV,['Geno Studio'],"['Action', 'Adventure']"
135,135,Haikyuu!!,TV,['Production I.G'],['Sports']
136,136,Mo Dao Zu Shi: Xian Yun Pian,ONA,['B.CMAY PICTURES'],"['Action', 'Mystery', 'Supernatural']"
137,137,Vivy: Fluorite Eye's Song,TV,['Wit Studio'],"['Action', 'Sci-Fi', 'Suspense']"
138,138,Yuu☆Yuu☆Hakusho,TV,['Studio Pierrot'],"['Action', 'Comedy', 'Supernatural']"
139,139,Mushishi Zoku Shou: Odoro no Michi,Special,['Artland'],"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']"
140,140,Saiki Kusuo no Ψ-nan 2,TV,"['J.C.Staff', '            Egg Firm']","['Comedy', 'Slice of Life', 'Supernatural']"
141,141,Wu Liuqi Zhi Xuanwu Guo Pian,ONA,['None'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']"
142,142,Gintama: Yorinuki Gintama-san on Theater 2D,Movie,['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']"
143,143,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV,['David Production'],"['Action', 'Adventure', 'Drama', 'Supernatural']"
144,144,Grand Blue,TV,['Zero-G'],"['Comedy', 'Slice of Life']"
145,145,JoJo no Kimyou na Bouken Part 6: Stone Ocean,ONA,['David Production'],"['Action', 'Adventure']"
146,146,Kono Oto Tomare! 2nd Season,TV,['Platinum Vision'],"['Drama', 'Romance']"
147,147,Koukaku Kidoutai: Stand Alone Complex,TV,['Production I.G'],"['Action', 'Sci-Fi']"
148,148,Mononoke,TV,['Toei Animation'],"['Fantasy', 'Horror', 'Mystery', 'Supernatural']"
149,149,Saiki Kusuo no Ψ-nan,TV,"['J.C.Staff', '            Egg Firm']","['Comedy', 'Slice of Life', 'Supernatural']"
150,150,Major S5,TV,['SynergySP'],"['Comedy', 'Drama', 'Romance', 'Sports']"
151,151,Yoru Ni Kakeru,Music,['None'],['None']
152,152,Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie,['Shuka'],"['Drama', 'Slice of Life', 'Supernatural']"
153,153,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,['P.A. Works'],"['Drama', 'Fantasy']"
