,anime,votes,weight,rate,rate_1,rate_2,rate_3,rate_4,rate_5
335,Sengoku Collection (Parallel World Samurai),122,514,4.21,2,6,20,30,64
336,SHELTER,121,585,4.83,3,0,1,6,111
337,sweetness & lightning,121,569,4.7,2,1,3,19,96
338,Peeping Life,121,480,3.97,14,8,7,31,61
339,Asobi Asobase - workshop of fun -,120,577,4.81,3,1,1,6,109
340,Myriad Colors Phantom World,120,466,3.88,7,12,18,34,49
341,Ascendance of a Bookworm,119,561,4.71,2,3,4,9,101
342,Saekano -How to Raise a Boring Girlfriend-,119,513,4.31,3,7,8,33,68
343,Tanaka-kun is Always Listless,118,558,4.73,0,4,1,18,95
344,How to Keep a Mummy,117,558,4.77,0,3,3,12,99
345,Love Tyrant,117,449,3.84,11,11,17,25,53
346,Drifters,115,530,4.61,4,3,4,12,92
347,SHIROBAKO,111,538,4.85,0,0,2,13,96
348,Digimon Xros Wars - The Young Hunters Who Leapt Through Time,111,515,4.64,1,4,5,14,87
349,Izetta: The Last Witch,111,447,4.03,3,7,23,29,49
350,La storia della Arcana Famiglia,110,364,3.31,20,17,22,11,40
351,My Roommate is a Cat,109,522,4.79,0,1,3,14,91
352,Magical Play,109,473,4.34,7,2,6,26,68
353,White Album 2,109,469,4.3,4,5,11,23,66
354,GA Geijutsuka Art Design Class,108,496,4.59,3,1,6,17,81
355,Beautiful Bones -Sakurako's Investigation-,108,492,4.56,0,1,9,27,71
356,Pop Team Epic,108,423,3.92,20,4,6,13,65
357,"Love, Chunibyo & Other Delusions",107,517,4.83,0,0,0,18,89
358,AHO-GIRL,107,454,4.24,6,6,9,21,65
359,Spiritpact,107,401,3.75,20,6,10,16,55
360,Showa Genroku Rakugo Shinju,106,520,4.91,0,0,2,6,98
361,HENNEKO – The Hentai Prince and the Stony Cat -,106,486,4.58,1,3,7,17,78
362,Noblesse: Awakening,105,486,4.63,1,5,4,12,83
363,Cute High Earth Defense Club LOVE!,105,457,4.35,3,5,8,25,64
364,Twin Angel: Twinkle Paradise,105,415,3.95,12,6,14,16,57
365,Samurai Flamenco,105,400,3.81,12,10,13,21,49
366,KADO: The Right Answer,104,400,3.85,7,15,14,19,49
367,Hakkenden: Eight Dogs of the East,103,478,4.64,2,1,6,14,80
368,Sherlock Hound,103,470,4.56,3,2,4,19,75
369,Chaika –The Coffin Princess-,103,442,4.29,1,3,14,32,53
370,Ixion Saga DT,103,388,3.77,20,5,8,16,54
371,A Certain Magical Index,103,366,3.55,12,13,16,30,32
372,Rozen Maiden,102,504,4.94,0,0,3,0,99
373,Kakuriyo -Bed & Breakfast for Spirits-,102,495,4.85,0,0,3,9,90
374,Infinite Stratos,102,359,3.52,11,20,14,19,38
375,BIG ORDER,102,248,2.43,41,14,23,10,14
376,NANBAKA,101,448,4.44,4,4,5,19,69
377,Gabriel DropOut,101,436,4.32,3,5,12,18,63
378,Natsuyuki Rendezvous,101,404,4.0,4,5,21,28,43
379,Rurouni Kenshin,100,480,4.8,0,0,6,8,86
380,Anti-Magic Academy: The 35th Test Platoon,100,352,3.52,5,21,20,25,29
381,Gatchaman Crowds,99,411,4.15,5,7,13,17,57
382,Schwarzes Marken,99,394,3.98,6,6,14,31,42
383,Bladedance of Elementalers,99,359,3.63,17,9,10,21,42
384,Saki Episode of Side A,98,439,4.48,1,3,10,18,66
385,Valerian and Laureline,98,437,4.46,4,0,8,21,65
386,Fox Spirit Matchmaker,98,370,3.78,18,6,4,22,48
387,Hand Shakers,98,272,2.78,37,12,10,14,25
388,Case Closed,97,477,4.92,0,0,0,8,89
389,Oreshura,97,412,4.25,2,6,11,25,53
390,Conception,97,225,2.32,51,12,6,8,20
391,Thunderbolt Fantasy,95,445,4.68,4,0,1,12,78
392,Yamishibai,95,416,4.38,2,4,4,31,54
393,gen:LOCK,95,380,4.0,7,8,11,21,48
394,Folktales from Japan,94,448,4.77,1,0,2,14,77
395,DAKAICHI -I'm being harassed by the sexiest man of the year-,94,404,4.3,12,3,2,5,72
396,Bloodivores,94,227,2.41,42,11,13,16,12
397,Humanity Has Declined,93,412,4.43,3,3,4,24,59
398,Hamatora,93,388,4.17,2,7,15,18,51
399,The Silver Guardian,93,270,2.9,28,19,10,6,30
400,Go Lion,92,428,4.65,1,1,4,17,69
401,Tari Tari,91,433,4.76,0,0,2,18,71
